endpoint,prompt_set,offered_rpm,reps,run_tags,point_measure_ok,point_loadgen_valid,point_prompt_mix_valid,point_valid,point_error_non_timeout_compliant,point_timeout_compliant,on_best_tradeoff_p95,vus_max_n,vus_max_mean,vus_max_sd,vus_max_ci95_lo,vus_max_ci95_hi,vus_cap_n,vus_cap_mean,vus_cap_sd,vus_cap_ci95_lo,vus_cap_ci95_hi,iterations_count_n,iterations_count_mean,iterations_count_sd,iterations_count_ci95_lo,iterations_count_ci95_hi,dropped_iterations_count_n,dropped_iterations_count_mean,dropped_iterations_count_sd,dropped_iterations_count_ci95_lo,dropped_iterations_count_ci95_hi,throughput_success_rps_n,throughput_success_rps_mean,throughput_success_rps_sd,throughput_success_rps_ci95_lo,throughput_success_rps_ci95_hi,throughput_attempt_rps_n,throughput_attempt_rps_mean,throughput_attempt_rps_sd,throughput_attempt_rps_ci95_lo,throughput_attempt_rps_ci95_hi,timeout_rate_n,timeout_rate_mean,timeout_rate_sd,timeout_rate_ci95_lo,timeout_rate_ci95_hi,error_rate_total_n,error_rate_total_mean,error_rate_total_sd,error_rate_total_ci95_lo,error_rate_total_ci95_hi,error_rate_non_timeout_n,error_rate_non_timeout_mean,error_rate_non_timeout_sd,error_rate_non_timeout_ci95_lo,error_rate_non_timeout_ci95_hi,latency_p50_s_n,latency_p50_s_mean,latency_p50_s_sd,latency_p50_s_ci95_lo,latency_p50_s_ci95_hi,latency_p95_s_n,latency_p95_s_mean,latency_p95_s_sd,latency_p95_s_ci95_lo,latency_p95_s_ci95_hi,http_429_measure_count_n,http_429_measure_count_mean,http_429_measure_count_sd,http_429_measure_count_ci95_lo,http_429_measure_count_ci95_hi,http_429_measure_rate_n,http_429_measure_rate_mean,http_429_measure_rate_sd,http_429_measure_rate_ci95_lo,http_429_measure_rate_ci95_hi,http_5xx_measure_count_n,http_5xx_measure_count_mean,http_5xx_measure_count_sd,http_5xx_measure_count_ci95_lo,http_5xx_measure_count_ci95_hi,http_5xx_measure_rate_n,http_5xx_measure_rate_mean,http_5xx_measure_rate_sd,http_5xx_measure_rate_ci95_lo,http_5xx_measure_rate_ci95_hi,http_non_200_measure_count_n,http_non_200_measure_count_mean,http_non_200_measure_count_sd,http_non_200_measure_count_ci95_lo,http_non_200_measure_count_ci95_hi,http_non_200_measure_rate_n,http_non_200_measure_rate_mean,http_non_200_measure_rate_sd,http_non_200_measure_rate_ci95_lo,http_non_200_measure_rate_ci95_hi
rag,in_scope,10,1,sweep_primary,True,True,True,True,True,True,True,1,100.0,0.0,100.0,100.0,1,600.0,0.0,600.0,600.0,1,142.0,0.0,142.0,142.0,1,0.0,0.0,0.0,0.0,1,0.16111111111111112,0.0,0.16111111111111112,0.16111111111111112,1,0.16111111111111112,0.0,0.16111111111111112,0.16111111111111112,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,22.803551929,0.0,22.803551929,22.803551929,1,37.412750863499994,0.0,37.412750863499994,37.412750863499994,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
rag,in_scope,20,1,sweep_primary,True,True,True,True,True,True,False,1,100.0,0.0,100.0,100.0,1,600.0,0.0,600.0,600.0,1,287.0,0.0,287.0,287.0,1,0.0,0.0,0.0,0.0,1,0.3236111111111111,0.0,0.3236111111111111,0.3236111111111111,1,0.325,0.0,0.325,0.325,1,0.0,0.0,0.0,0.0,1,0.004273504273504274,0.0,0.004273504273504274,0.004273504273504274,1,0.004273504273504274,0.0,0.004273504273504274,0.004273504273504274,1,20.726723025,0.0,20.726723025,20.726723025,1,37.879180311999974,0.0,37.879180311999974,37.879180311999974,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1,0.004273504273504274,0.0,0.004273504273504274,0.004273504273504274,1,1.0,0.0,1.0,1.0,1,0.004273504273504274,0.0,0.004273504273504274,0.004273504273504274
rag,in_scope,30,1,sweep_primary,True,True,True,True,True,True,True,1,100.0,0.0,100.0,100.0,1,600.0,0.0,600.0,600.0,1,429.0,0.0,429.0,429.0,1,0.0,0.0,0.0,0.0,1,0.48194444444444445,0.0,0.48194444444444445,0.48194444444444445,1,0.48333333333333334,0.0,0.48333333333333334,0.48333333333333334,1,0.0,0.0,0.0,0.0,1,0.0028735632183908046,0.0,0.0028735632183908046,0.0028735632183908046,1,0.0028735632183908046,0.0,0.0028735632183908046,0.0028735632183908046,1,21.663120187,0.0,21.663120187,21.663120187,1,37.7641839912,0.0,37.7641839912,37.7641839912,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1,0.0028735632183908046,0.0,0.0028735632183908046,0.0028735632183908046,1,1.0,0.0,1.0,1.0,1,0.0028735632183908046,0.0,0.0028735632183908046,0.0028735632183908046
rag,in_scope,40,1,sweep_primary,True,True,True,True,True,True,True,1,100.0,0.0,100.0,100.0,1,600.0,0.0,600.0,600.0,1,576.0,0.0,576.0,576.0,1,0.0,0.0,0.0,0.0,1,0.6527777777777778,0.0,0.6527777777777778,0.6527777777777778,1,0.6541666666666667,0.0,0.6541666666666667,0.6541666666666667,1,0.0,0.0,0.0,0.0,1,0.0021231422505307855,0.0,0.0021231422505307855,0.0021231422505307855,1,0.0021231422505307855,0.0,0.0021231422505307855,0.0021231422505307855,1,20.901407404,0.0,20.901407404,20.901407404,1,39.00223011805,0.0,39.00223011805,39.00223011805,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1,0.0021231422505307855,0.0,0.0021231422505307855,0.0021231422505307855,1,1.0,0.0,1.0,1.0,1,0.0021231422505307855,0.0,0.0021231422505307855,0.0021231422505307855
rag,in_scope,50,1,sweep_primary,True,True,False,False,True,False,False,1,100.0,0.0,100.0,100.0,1,600.0,0.0,600.0,600.0,1,675.0,0.0,675.0,675.0,1,0.0,0.0,0.0,0.0,1,0.6125,0.0,0.6125,0.6125,1,0.7638888888888888,0.0,0.7638888888888888,0.7638888888888888,1,0.19818181818181818,0.0,0.19818181818181818,0.19818181818181818,1,0.19818181818181818,0.0,0.19818181818181818,0.19818181818181818,1,0.0,0.0,0.0,0.0,1,23.907919291,0.0,23.907919291,23.907919291,1,103.676380967,0.0,103.676380967,103.676380967,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,109.0,0.0,109.0,109.0,1,0.19818181818181818,0.0,0.19818181818181818,0.19818181818181818
rag,in_scope,60,1,sweep_primary,True,True,False,False,True,False,False,1,100.0,0.0,100.0,100.0,1,600.0,0.0,600.0,600.0,1,777.0,0.0,777.0,777.0,1,0.0,0.0,0.0,0.0,1,0.6458333333333334,0.0,0.6458333333333334,0.6458333333333334,1,0.9222222222222223,0.0,0.9222222222222223,0.9222222222222223,1,0.2996987951807229,0.0,0.2996987951807229,0.2996987951807229,1,0.2996987951807229,0.0,0.2996987951807229,0.2996987951807229,1,0.0,0.0,0.0,0.0,1,22.307500776,0.0,22.307500776,22.307500776,1,44.72764934519999,0.0,44.72764934519999,44.72764934519999,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,199.0,0.0,199.0,199.0,1,0.2996987951807229,0.0,0.2996987951807229,0.2996987951807229
rag,in_scope,70,1,sweep_primary,True,False,False,False,True,False,False,1,108.0,0.0,108.0,108.0,1,600.0,0.0,600.0,600.0,1,871.0,0.0,871.0,871.0,1,8.0,0.0,8.0,8.0,1,0.6416666666666667,0.0,0.6416666666666667,0.6416666666666667,1,1.0152777777777777,0.0,1.0152777777777777,1.0152777777777777,1,0.36662106703146374,0.0,0.36662106703146374,0.36662106703146374,1,0.3679890560875513,0.0,0.3679890560875513,0.3679890560875513,1,0.0013679890560875513,0.0,0.0013679890560875513,0.0013679890560875513,1,34.076545055,0.0,34.076545055,34.076545055,1,109.85913737385,0.0,109.85913737385,109.85913737385,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1,0.0013679890560875513,0.0,0.0013679890560875513,0.0013679890560875513,1,269.0,0.0,269.0,269.0,1,0.3679890560875513,0.0,0.3679890560875513,0.3679890560875513
rag,in_scope,80,1,sweep_primary,True,False,False,False,True,False,False,1,130.0,0.0,130.0,130.0,1,600.0,0.0,600.0,600.0,1,960.0,0.0,960.0,960.0,1,30.0,0.0,30.0,30.0,1,0.7819444444444444,0.0,0.7819444444444444,0.7819444444444444,1,1.1555555555555554,0.0,1.1555555555555554,1.1555555555555554,1,0.32091346153846156,0.0,0.32091346153846156,0.32091346153846156,1,0.3233173076923077,0.0,0.3233173076923077,0.3233173076923077,1,0.002403846153846154,0.0,0.002403846153846154,0.002403846153846154,1,62.83675145,0.0,62.83675145,62.83675145,1,114.0582546377,0.0,114.0582546377,114.0582546377,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,2.0,0.0,2.0,2.0,1,0.002403846153846154,0.0,0.002403846153846154,0.002403846153846154,1,269.0,0.0,269.0,269.0,1,0.3233173076923077,0.0,0.3233173076923077,0.3233173076923077
rag,in_scope,90,1,sweep_primary,True,False,False,False,True,False,False,1,125.0,0.0,125.0,125.0,1,600.0,0.0,600.0,600.0,1,1123.0,0.0,1123.0,1123.0,1,25.0,0.0,25.0,25.0,1,0.9527777777777777,0.0,0.9527777777777777,0.9527777777777777,1,1.3138888888888889,0.0,1.3138888888888889,1.3138888888888889,1,0.273784355179704,0.0,0.273784355179704,0.273784355179704,1,0.2748414376321353,0.0,0.2748414376321353,0.2748414376321353,1,0.0010570824524312897,0.0,0.0010570824524312897,0.0010570824524312897,1,40.058171488499994,0.0,40.058171488499994,40.058171488499994,1,112.64877599925,0.0,112.64877599925,112.64877599925,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1,0.0010570824524312897,0.0,0.0010570824524312897,0.0010570824524312897,1,260.0,0.0,260.0,260.0,1,0.2748414376321353,0.0,0.2748414376321353,0.2748414376321353
rag,in_scope,100,1,sweep_primary,True,False,False,False,True,False,False,1,163.0,0.0,163.0,163.0,1,600.0,0.0,600.0,600.0,1,1204.0,0.0,1204.0,1204.0,1,63.0,0.0,63.0,63.0,1,0.7694444444444445,0.0,0.7694444444444445,0.7694444444444445,1,1.426388888888889,0.0,1.426388888888889,1.426388888888889,1,0.4527750730282376,0.0,0.4527750730282376,0.4527750730282376,1,0.4605647517039922,0.0,0.4605647517039922,0.4605647517039922,1,0.007789678675754625,0.0,0.007789678675754625,0.007789678675754625,1,29.5642401175,0.0,29.5642401175,29.5642401175,1,109.5360205459,0.0,109.5360205459,109.5360205459,1,8.0,0.0,8.0,8.0,1,0.007789678675754625,0.0,0.007789678675754625,0.007789678675754625,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,473.0,0.0,473.0,473.0,1,0.4605647517039922,0.0,0.4605647517039922,0.4605647517039922
